utc_time,x_error (m),y_error (m),z_error (m),satclockerror (m)
1/1/2025 0:00,0.523456,0.345678,-0.123456,1.234567
1/1/2025 2:00,0.456789,0.234567,-0.234567,1.345678
1/1/2025 4:00,0.389012,0.123456,-0.345678,1.456789
1/1/2025 6:00,0.321234,0.012345,-0.456789,1.567890
1/1/2025 8:00,0.253456,-0.098765,-0.567890,1.678901
1/1/2025 10:00,0.185678,-0.209876,-0.678901,1.790012
1/1/2025 12:00,0.117890,-0.320987,-0.789012,1.901123
1/1/2025 14:00,0.050102,-0.432098,-0.890123,2.012234
1/1/2025 16:00,-0.017687,-0.543210,-0.990123,2.123345
1/1/2025 18:00,-0.085432,-0.654321,-1.090123,2.234456
1/1/2025 20:00,-0.153210,-0.765432,-1.190123,2.345567
1/1/2025 22:00,-0.220987,-0.876543,-1.290123,2.456678
1/2/2025 0:00,-0.288765,-0.987654,-1.390123,2.567789
1/2/2025 2:00,-0.356543,-1.098765,-1.490123,2.678900
1/2/2025 4:00,-0.424321,-1.209876,-1.590123,2.790011
1/2/2025 6:00,-0.492098,-1.320987,-1.690123,2.901122
1/2/2025 8:00,-0.559876,-1.432098,-1.790123,3.012233
1/2/2025 10:00,-0.627654,-1.543209,-1.890123,3.123344
1/2/2025 12:00,-0.695432,-1.654320,-1.990123,3.234455
1/2/2025 14:00,-0.763209,-1.765431,-2.090123,3.345566
1/2/2025 16:00,-0.830987,-1.876542,-2.190123,3.456677
1/2/2025 18:00,-0.898765,-1.987653,-2.290123,3.567788
1/2/2025 20:00,-0.966543,-2.098764,-2.390123,3.678899
1/2/2025 22:00,-1.034320,-2.209875,-2.490123,3.790010
1/3/2025 0:00,-1.102098,-2.320986,-2.590123,3.901121
1/3/2025 2:00,-1.169876,-2.432097,-2.690123,4.012232
1/3/2025 4:00,-1.237654,-2.543208,-2.790123,4.123343
1/3/2025 6:00,-1.305431,-2.654319,-2.890123,4.234454
1/3/2025 8:00,-1.373209,-2.765430,-2.990123,4.345565
1/3/2025 10:00,-1.440987,-2.876541,-3.090123,4.456676
1/3/2025 12:00,-1.508765,-2.987652,-3.190123,4.567787
1/3/2025 14:00,-1.576543,-3.098763,-3.290123,4.678898
1/3/2025 16:00,-1.644320,-3.209874,-3.390123,4.790009
1/3/2025 18:00,-1.712098,-3.320985,-3.490123,4.901120
1/3/2025 20:00,-1.779876,-3.432096,-3.590123,5.012231
1/3/2025 22:00,-1.847654,-3.543207,-3.690123,5.123342
